testnet_pk;mainnet_beta_pk;onboarding_number;state;tds_onboarding_group;tn_calculated_stats_avg_self_stake;tn_calculated_stats_avg_skip_rate;tn_calculated_stats_bonus_and_baseline_percent;tn_calculated_stats_bonus_epochs_percent;tn_calculated_stats_num_bonus_last_10;tn_calculated_stats_percent_bonus_last_13_epochs;tn_calculated_stats_percent_bonus_since_aug1_2021;tn_calculated_stats_vote_credit_score;tn_calculated_stats_vote_credits_last_64_epochs;tn_name
oMvsvLVa4TeT9tZ3aVuRxKKJMnyTFpc6iQ73V5yAbh7;Hb9RUYvHAkvQaz4f52tDhfkanxqJTLDEkacC8F7FGbBu;None;Pending;None;;;;;;;;;;None
2hEb28X4uckNX5qEVHy5sDqfUDXFWKbWGVe97TxUU9q8;ABNRHvGzcjiNnUz3wfqH99Lp6Sjn3X9nH7Hq6hihKJtZ;None;Pending;None;;;;;;;;;;None
CPZDTXDMmE8pHwxhECEfhWZYNvDNwjyFx2GJ3pSbzBX3;HG56ZQAVcveHQMQLXKYqjYXErM5AQEYhjPXMtzDqPuBt;193;Pending;None;0;24.74342748364796;36.0655737704918;32.78688524590164;9;0.9230769230769231;0.9090909090909091;0.6827326697219906;13827055;None
2fbMYRHnbtuHGVXprpgDRDXCPe2uit7BhvfVmVzWAkKd;5NbTojGtUM67NbkobtMjmWpsSrYjuV7ouPPS4HZx9ys7;1151;Pending;None;0;;75;0;0;0;0;0.027293545784951075;552763;None
GGQDNAb7hFMu9XnXPMw7NvyS6MA9BfeAmaZX8yp1QXFU;CRextgJEiudn3vzHZauno3a8BpfdweYEdLEjhpZ8C7Cm;None;Approved;6;886859662.2222222;17.09875441877389;70.83333333333333;58.333333333333336;9;0.9230769230769231;0.6363636363636364;0.24142174525763885;4889398;Evgeniy
EL3RZmhvLAMMoDip59M3oKgqXXzHAPdZ88KQ2h82mCB8;3CxJofVghT3nbqtrSWo3oMQTFynpNyqtytBFawpAXi8E;None;Approved;7;0;24.417060073530806;33.333333333333336;33.333333333333336;10;1;1;0.7564907611236668;15320842;stateb
2rsXVaKikXHsCuFyYEkoReVZEv4LZBoBBWG3wkNCSWK2;EpQvHyTCMUcMyr63gubTnTcxLffhkX2KQ2EJ66E5T5Uc;481;Pending;14;0;22.246904306621662;48.888888888888886;46.666666666666664;10;1;0.9545454545454546;0.42167494539073835;8539979;Ter
859Kqd71jDi68MHayXjQJZNy9nWBt4gNs7HomAfdNurH;7EkPX4J9vNmUg9DqtEFnTRPYsQe9a4BcuLK3iawVH6d;422;Pending;14;0;24.087647425562885;50;50;10;1;1;0.42504746447071245;8608281;None
AftA1yXaFqfVPVCvtHSSazhf23hi1nUeQywJiELbnasG;W1FAbXyQJ5iPghy12TqPktwobU5kTD73ZjA6QZCvsRp;None;Pending;None;;;;;;;;;;None
DKyon4vSD7mF6uqgEJujABpEdhRbyX9X9EzFjmEz4VBx;6RFbeXzEyabceq71fMBLuBVofWedpZAu2nK9vNbZiqei;None;Approved;9;997717120;22.52702078508042;33.333333333333336;31.818181818181817;9;0.9230769230769231;0.9545454545454546;0.7569626037099487;15330398;Foxy
C7E3755uw9sm51zKjhidXKgu4emkag9Ec6YesVj2eD5;5FDPhuJekd5s4v7Xec37NTvx2nhJf4yP1gG9sMCygZ4V;None;Pending;None;;;;;;;;;;None
3JzwvYNBKBsqLNDk7cR6TCYZJF5SLHcsxp2hQ6UiHA7S;AHRTPcmf4rhiAs3H9jMYXwpKjfov8E9ajdWbUNSnjMVo;441;Pending;14;0;22.035743177672195;50;50;10;1;1;0.4166987244104029;8439198;Lex_Prime
3fPSY8VynfZBPErTJ2xjfYqKDTHNmekeAwVTbw44EtBR;53TFWrEmiLGCuGiTh5GfC7xko2rZXDYDNVRwTHWZvQSn;None;Pending;None;;;;;;;;;;None
BoZviedWdjsBkTFM7os4RuMHLJuS84qask3Bn7zVDWFK;4BrRt5BbQgQa4oGM4rrBEbik2mQDAjhc2vu133rLCADd;293;Pending;None;8404089871418.182;29.971509832459564;46.808510638297875;46.808510638297875;10;1;1;0.4594736051820127;9305497;None
DW1PfBfwWFs53YckmHhEJFHLQDGgiRTSLhGMoQcdVfjg;7puL8778n3xsdPpNP6csoq3wnELhSThjR47jajdrTKq3;None;Pending;None;;;;;;;;;;None
E4nLHBeELXQVRHwN8F5WiFYjKk1EEJFm6x8fuDaGeVPT;HnkzMEJ8RVaDWb4YHM3eE8vteLLgMRAZcqhv4cpjvkvG;None;Pending;None;;;;;;;;;;None
HvofH3GhdBkVdPctTWhiPmGKzsADqtUpr4tpLgss3NX;9vVzGvGuNZ2jdSszHzSZYBCsXY3g4ST5DCQHPP5gnqvn;463;Pending;14;0;23.71970274281174;51.16279069767442;51.16279069767442;10;1;1;0.4097654133557819;8298781;None
6Bqjw7w7ZSCjVeDVzRLZ7w31BaDassZs2CtEEyLx2paZ;CkpJ5VRoZHUz1WwdiFQB1EFnb3Vn3b4AKRcB9SPQU6nE;None;Pending;None;;;;;;;;;;None
8v52QZ9KKj88NJJKMsh3t4kndqWPqkGAUb4NTz6XK2Ts;9tNh1oRW4g3TmQGPbyK531zJ183iQYxxsg5eAzaXxFWY;85;Pending;None;0;21.365201370105797;36.0655737704918;36.0655737704918;10;1;1;0.6716847589857596;13603307;None
GikkfYtVZgaUtcmreVpQ1Eamw7mrnf2jnDFGJBnhVQhG;AUgbNHRcxPqfmq3CXQ5bvy3BpN8KZt5LtXBGSH3gV5B5;None;Approved;9;997717120;21.33264374502192;33.333333333333336;33.333333333333336;10;1;1;0.761579708833228;15423906;veyen
3A3YM5d5FRkcArf8tozqj7hxLFTi4Do1beAdJHfX9sgW;HJfTAN5M9RUHqq2iRbquwuqBvKJZ3sfuJaP2jpgu26T7;None;Pending;None;;;;;;;;;;None
B287xc7KK3N6Zk28sPwUANPx576fmyrt25DrcF7EhAVs;EuyS39mKKL2ast4NybSRPknK9bJ9WcffivJpMqAxKr7M;None;Pending;None;;;;;;;;;;None
EeHdr93aBEXELpbDx9p8ScgzstUZuNZmFFHM7oPccXzS;2kX1VME9AYwFsKPc7NU1xAZu9HKxWUHRMbhcyXLJiV1a;None;Approved;12;0;21.015159916631195;33.333333333333336;33.333333333333336;10;1;1;0.6887748816603881;13949425;None
5cFZJST5tGLL8Viudh7YGQKR7o79A3cMeQhp6tHtJ7Qf;CSFqzZfLoBVFHyuJ43yhfa4MtsgN9FSTyehtf89H6n7i;None;Pending;None;;;;;;;;;;None
AdrwFufQPWrBRAWPG2ferUA7Bi1EY7SeT62DRkaGmt3J;CkXqq2TFqdiST4SR4YEiqoPwvJboiPv4EZYz9dFZodR3;59;Pending;13;0;20.84715453537839;36.0655737704918;36.0655737704918;10;1;1;0.6815310906787536;13802720;256gb
3Ypo4PFfUipSd6vskHfFnc4pXQbPqYa8eR1hNMuSKjE5;DKvGxuSqqj15kNRRoqKGYwvF8p2kk81hU5akvBxNPmSu;None;Pending;None;;;;;;;;;;None
F3kPmteoT3zWKYNX5peNWwiEFdZef7ynTeWj5x1hXUeW;BYeSd4QY8unKk7mBXrv5V1Gb21EXa3bsUyRaL1VBdF7Y;None;Pending;None;;;;;;;;;;None
8uNgUAK2gn8Yc7eWmGFMFvwNfaKZqpj9fV8cCTkahZaX;CZLpuUHnyPqHPzz9uTQ99Bgx1MafyTvGy9se4GE8Qj36;81;Pending;13;0;21.61455376062424;36.0655737704918;36.0655737704918;10;1;1;0.6735269991379343;13640617;None
Bg5j1Qfa2SEmio9U3UQKMtERNEjpqvushEmJMAi3SG4W;3Urw79qk7EoFoxwPurb8j3RiSK21pcP1mSVe1q7HGXbk;None;Approved;12;0;29.53733927808828;33.333333333333336;30.303030303030305;10;1;0.9090909090909091;0.7322626614756081;14830162;dunker23
BuFKun14y2uagDQXKou6x4ArWuG46US7X8TEEJVvSMTq;8Gr59dE1LhRdKeN7EcAFAoKSk9XYVUVPPL7zWc8myrma;None;Approved;12.1;0;33.79133448099481;33.333333333333336;30.303030303030305;10;0.8461538461538461;0.9090909090909091;0.7598347405411386;15388566;Lelik
Gdi1N4Bsq77sRHrvuth7wguHL11Vj6e51pyJzLaZFEFf;AbP9zDswWK1d1TXXPz183DNvwDJYm9653hLZ9QTVPu1e;1181;Pending;None;0;;50;0;0;0;0;0.01211291416271864;245317;None
7knBdqtoSrqHVmw2aPWFPmTqafUnYNRdh5H1rkxzgMyF;3bLG445YBVeg3UDDCXxo5KoFMJDnAX8nx3uaMwS8NCc8;None;Pending;None;;;;;;;;;;None
1DdfupGTrYUKtRxN9ukGCf3HBquc4buGPPmZr9WEjY4;Cx3aWnDZP7qovDyRdqWcKr7ReJ18Adi2mVXC8yBpTyt1;77;Pending;None;0;25.820218414673533;36.0655737704918;36.0655737704918;10;1;1;0.6748571054155886;13667555;None
33FtaV5DrLUPYYQK7QAiD3LBDXD2VoCv6BuCQVoRdq57;E5xhAhxYd4kHMRMshgqavu8S1vx21fuYwu9QXusC29oE;None;Approved;12.1;0;23.547501535432733;33.333333333333336;31.818181818181817;10;1;0.9545454545454546;0.7641784969246045;15476538;None
5vQmNwKqvWXh3aVcKZBryx2sqY7zZXjPCD8SC6b46f7q;E54yrdJi7t6QB64SJPXqpNP1L7cnii1ysDcL8XVdtYY5;None;Pending;None;;;;;;;;;;None
3XeDMpzQc5SmrSE6w9nYBXkdk8AzX7q5XohzxmwMmExG;A999CZTRTUDaXvm4J31jUDd2BDBb6f3BhMHxy3t6sWTA;798;Pending;11;1760760823.6818182;46.366453738168374;21.568627450980394;15.686274509803921;8;0.6153846153846154;0.36363636363636365;0.37202027777584384;7534347;OTTHON Validator
G6agnK4PgYziindz8BWN1RrytCgDm97trS2CAhBc4Rc;8V2AVX7U2ftoaE6n2xC7tfJBGNdpht9YoSQr19oWbMmt;None;Pending;None;;;;;;;;;;None
7WgNDqtFHr1hLYo8wcw8X5uCnGwDSYQMz7MMKL6dyLLt;Hb633GMv6MFveTs8caTyMfzdA1KawRU7Zp1kTLYzA3bR;None;Approved;12;19997717120;21.803005731954006;33.333333333333336;31.818181818181817;9;0.9230769230769231;0.9545454545454546;0.7584701200349566;15360929;None
CiY5RjWPs1XyegKyBLcG7Ue7YMf98eiEnmvqnSuSKbob;2D2v7sMqDuq2ekZnFhaQm4k2ErWHemZQuYf5qaVTPFmg;None;Approved;4;0;24.853650934902817;33.333333333333336;33.333333333333336;10;1;1;0.746283091627574;15114111;maximka
79SdgYawG2AHZWRTkvSzTn2DLEznQ2WrBxvi68JMFup7;8zWaTPKsEuRMV7NpvnsrLkDryyTBRu2xwzDW6iDpSqxm;777;Pending;12;0;55.174545729823194;17.91044776119403;11.940298507462687;1;0.3076923076923077;0.36363636363636365;0.634514613665057;12850518;interrio
4u5EFwfcHuMRBJad8n4vUYu7HQzKHHkw4VoUPyqykUtn;4D2MNsLXCFPnQee3myikipnQA4GmEox8DddBun7Ks6cU;None;Pending;None;;;;;;;;;;None
G5naszdWaPwDEaEvCUWKhWDkdEscVBhXyNtzhthKzsnU;F7HJrpa8jaJEDAPbeRvEBUgVy9sVUy6prBRWtcdU59eu;None;Pending;None;;;;;;;;;;None
FNscPDMbmL1SGs3Egrtq23LeJp1nYZ8mB1t9ckBsrBDv;2eHZqDeMuEEsoeEfW4RsbL3VFcRHePrLAnx4LrYUH53h;954;Pending;None;0;21.527777777777775;88.88888888888889;44.44444444444444;4;0.3076923076923077;0.18181818181818182;0.07344854962965838;1487518;None
AQXUYRhH2meRQtdNiU7bpGSqSPJEbGKC2LaRx9QodhR7;J8yuUUBEL1T1LKmWA9WCUgroEyhJP7AsA4GQMxtNuDUy;109;Pending;None;0;22.421234501460397;36.666666666666664;36.666666666666664;10;1;1;0.6616968646415653;13401027;orendamir
CidJBbVgPwrVFK4Je2Wxz5zuiC5sxcETbRdhBwwxZVvA;2hdzvQRjVyD27juUJ99b6roo94mW2HHZpmpUCs5Nd1sp;884;Pending;13;501997717120;83.44716949704107;10.714285714285714;5.357142857142857;0;0;0.13636363636363635;0.40885530425674993;8280349;stack2me
oQcqLhbpxQdDPgFP2d2HBNWqJFKGk9JfHw6kxyLgfK2;juQfUScu6TU1ZDAqkbb5vj19qocQSMY5AZyXGfZF2eu;588;Pending;14;0;18.34709242171033;51.16279069767442;48.83720930232558;9;0.9230769230769231;0.9545454545454546;0.40690009049245585;8240751;None
CJuwhohWZio6R4E5Z1Rn495sYiM1xbyues6M1GLpnksH;9kn1p1gYZQfVjuXf9UE2Bq6ocxbpHsZzdZPHL3b6gw2i;None;Pending;None;;;;;;;;;;None
43h2uYRTSVhMNXKuxY4Kn6T558u436qy59cV6Sz6rdRi;FJJUDYRPUVa1fqXBiW7bxwWNBpJnvH1PATRodTygBWpy;None;Approved;12;0;25.407438123304836;33.333333333333336;33.333333333333336;10;1;1;0.7634431315376751;15461645;link
2QSrSCT2fD5jx8CJPB9m3GUguHK827ALmtLSR9deAfCj;Aw6bihciwGzvgXUUzDdNSx7qQRQoi2AzLsBEntmpX7BK;None;Pending;None;;;;;;;;;;None
Dz7kQ4v3TUmS9yBu3Hm7VQzAJm79H3pca69jvf1MhFtU;bYgFEjpypYZNwPaNPiWhC7KARReEqXPmhr9J4cspUYZ;None;Pending;None;;;;;;;;;;None
3AwNjE1Lwc14wT5quCLWzhfukhPwjtwYwJmLP69BdzBA;7hGHbjdMndXhGKDx9JA49szaPH9E6LFBpBD4P2Pd3rEJ;None;Pending;None;;;;;;;;;;None
9wgqMFEtHspw67xoNVnmzj8SLSisLeeBoiLEjGqqujb2;GkxhyfXtiiwXgy51UcmJrXxv5Rrbf9vVgFCPVqkA5cdV;517;Pending;14;0;27.196274660532357;46.808510638297875;42.5531914893617;9;0.9230769230769231;0.9090909090909091;0.4675824244463046;9469721;jasonmason67
At81qZCWTvuat4rVnvZxxqPmMyUhyKMvUeWfRBCLpoPA;5N2KgQUzMRKXcTVqvSTJ5bob6jaqHJZH32og9kpuCEkd;None;Pending;None;;;;;;;;;;None
33kmrfcRXVtWZxmVJ1GTsPNKpBXWTj1tv65wTVTiifyw;9uAtx66puPQZLaP6fMKNKKyRtGzonhaUEdbVopgeWcfS;None;Approved;7;0;79.51250588036027;15.942028985507246;8.695652173913043;0;0;0.2727272727272727;0.5256837952536961;10646420;None
58TCKmcpy6Uz2fDBKgnu38nThLUUuQ61RtTdhqTxRYwp;7xECavLjC5ErhfN6qhDcWe4W3bMquE3j3fQcgs2nKkiB;1224;Pending;None;0;;0;0;0;0;0;0;0;None
BrmBMYWThXPvWmRKt89FsZScadEGt7fy1FRV2QUArpwL;9cDdzkrimGrsNVKKRtN2Q1ydBwDxjDtPGyyLRgnUYyAQ;None;Approved;12;0;22.934583552299813;33.333333333333336;33.333333333333336;10;1;1;0.734397951622507;14873407;None
9MZY9cHJW9CbYEfVzTVmjsrnFonURh5o1rFHN56q33sn;APCrSL6Ydb3GTq4Kjqe6aEAK5Jnx9sUjt7PtA3wCDfQo;827;Pending;14;997717120;62.90612559165045;48.888888888888886;20;2;0.15384615384615385;0.4090909090909091;0.4423537084304139;8958776;lofsigma
A8ZpXLD4Y6Ehj9e5gYZuWXzF4q1VpNmjwFvEoVKVFoJ7;BU6V24cSbncwnJJfxnHoiw7wifPpVaKvEWznHkxB2o83;None;Pending;None;;;;;;;;;;None
4SGG3cHVPXeLQkWQGx4vRxR8BkBXNzduKmC3Q4FrMMiT;AKqgh6Bj9P2Gyj9xty8cX92Cu9HDFjT5PeYx8wymSs79;822;Pending;None;0;62.786176548176314;47.72727272727273;20.454545454545453;3;0.3076923076923077;0.4090909090909091;0.40165274271834955;8134479;Andrey Creator
AVvcBzeSLoNGHFszgdmzGv975rDizhu5d36PnErH5Cai;3E1LNKQuJoLpRbr7RUpL6QWKnLLE6CRiknvCm2osn9EW;None;Pending;None;;;;;;;;;;None
DcgUD8iGqAbKNAa917SBNwmH5DJZiVC5cNu6BaRhKRk5;CsjTwoX7Z5iPfZShzBwPSbMbHv485xksxDYctWUJshQX;767;Pending;13;997717120;35.251685740897614;38.775510204081634;30.612244897959183;3;0.46153846153846156;0.6818181818181818;0.45147780890641886;9143562;None
y3MSrNFUUKLaYEwbkAVVX94dE2pGsq6CfXzh5JxjdNR;hSiLBQz6hqytL3XJHHCyVrpFQdhUgfmVkYq2dPcSHvC;1040;Pending;None;0;;15.789473684210526;0;0;0;0;0.18574599888004045;3761824;Brinya
HXMAoiGarsgssYSGYDAEC2QdEyKaFctx2RpA9p7zriUV;HdqmUdpM8vC2YZqvoX8yzGNkFyMw5F9QfLomKmZWLtLW;948;Pending;None;0;17.36111111111111;100;44.44444444444444;4;0.3076923076923077;0.18181818181818182;0.08380578078270469;1697278;None
BPhWj3sajcgF9EnHqgFWs7XoqwSdPfJoDwsRH2v6k95k;HiMYYxAmZ4SMQX4CwmGBsPCQpJJvMgrHe91pGYKWrMAh;765;Pending;None;0;49.80543368250665;55;32.5;6;0.6923076923076923;0.5909090909090909;0.38504557236021575;7798142;None
A66b4Ek3oDFj2Yrqbj77EgGx6FSijfW9FB4b8ecGX9cR;DGvDpPJbPbkyF48fjHmRRUnmTVpU8dcpY3byc5Zk8gJ;1087;Pending;None;0;31.25;83.33333333333333;16.666666666666668;1;0.07692307692307693;0.045454545454545456;0.04470506061049103;905390;None
QxgXRHsBe4vazdrboKaRtXMuf1EhTVvF68tVcfepRr1;CDGnuRy1sg55dCxJWJ3VSUrrriwaokVTNHaPLKBaABLV;578;Pending;14;0;24.980813158140123;51.16279069767442;48.83720930232558;9;0.9230769230769231;0.9545454545454546;0.41255040052552483;8355184;None
66dX6ZwV4W9etrDRkBvTrgiz2BWxogjELH2T6Pkf35bz;ADSwEkycEaUavU7f9YEM3GLMnqsSHky7wBSrZmz9dnkX;239;Pending;13;1007131952351.091;31.41808562363768;33.84615384615385;29.23076923076923;7;0.7692307692307693;0.8636363636363636;0.7034853495000152;14247349;Nozomi
99tbDJXVEhvbgBneC6BwyegyfB8iCZ66wwhASawniDYq;DozprwxxbEgk7Pk47TMNfrH26AgaSsuzwEwcHas8U9gN;900;Pending;14;0;95.74829931972789;47.82608695652174;2.1739130434782608;0;0;0.045454545454545456;0.3994581513004038;8090033;cloudinit snode02
HFd4ugnqnbv6PTnMAdxF8kZYDsKYGpy78xnPchopeZFs;9j7JiFdRtcenL3dBgRQRaiS8khGaxSUozrCmKdAfnmjh;931;Pending;None;0;20.535714285714285;81.81818181818181;36.36363636363637;4;0.3076923076923077;0.18181818181818182;0.10311044301308327;2088246;CoinDataFlow
t11cYN9qVRbQPbSxpZNeHMzmir6SuwRVABk5GDzGd6Q;m11nNxaLyXhzKUWCaWo2NcXFMxPiaVafPq3sSX9uBRq;None;Pending;None;;;;;;;;;;None
HgmPwzNcY85HfrN3bYiqaypb6Nmf7ayaZEaivGY37913;H3WEH47bHUy9i9rmzdaxmoLagoUhbcJ2shPXcsp8QdJC;None;Approved;3;0;21.65083807854032;33.333333333333336;31.818181818181817;10;0.9230769230769231;0.9545454545454546;0.7392680623351655;14972039;None
F1XvcBuz8xYKgFsn4t3c5oZQwsBMoFBjekr1LJD18VT6;HGmeJ66JokYSp9qr1JBTMUHKeENN2HHyTYSKDbaDMgGy;None;Pending;None;;;;;;;;;;None
FngAas3r7KShgnvmgtx4oQ49tF6q7WpUSnxovVsSyyAX;3m8MS8mGYoZAEMh1FQRDgGumzxrdUb12iDEu7KPx7n2B;500;Pending;14;0;29.62284017656049;46.808510638297875;44.680851063829785;10;0.9230769230769231;0.9545454545454546;0.45213051790056513;9156781;demmystr
F7FgS6rrWckgC5X4cP5WtRRp3U1u12nnuTRXbWYaKn1u;4h5muqwz35tyPQdAXkZMyVM5cnGN5oXouTZL2AFA1Fjh;None;Approved;1;0;22.08021931455458;33.333333333333336;31.818181818181817;10;1;0.9545454545454546;0.7452848453355205;15093894;Inotel
